Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
855	-13,8241	
856	-13,7886	
857	-13,759	
858	-13,7276	
859	-13,6919	
860	-13,6492	
861	-13,6203	
862	-13,5932	
863	-13,5661	
864	-13,5337	
865	-13,5037	
866	-13,4692	
867	-13,4337	
868	-13,3968	
869	-13,3648	
870	-13,3338	
871	-13,2907	
872	-13,2447	
873	-13,2014	
874	-13,1667	
875	-13,1292	
876	-13,087	
877	-13,0471	
878	-13,012	
879	-12,977	
880	-12,9361	
881	-12,8856	
882	-12,8369	
883	-12,7875	
884	-12,7428	
885	-12,6995	
886	-12,6563	
887	-12,6111	
888	-12,5614	
889	-12,5071	
890	-12,4582	
891	-12,4092	
892	-12,3541	
893	-12,3009	
894	-12,2459	
895	-12,2018	
896	-12,1569	
897	-12,107	
898	-12,0485	
899	-11,986	
900	-11,9212	
901	-11,8572	
902	-11,7959	
903	-11,7359	
904	-11,6708	
905	-11,601	
906	-11,5261	
907	-11,4558	
908	-11,3896	
909	-11,3216	
910	-11,2517	
911	-11,1831	
912	-11,1105	
913	-11,0343	
914	-10,9552	
915	-10,8746	
916	-10,7955	
917	-10,7137	
918	-10,6264	
919	-10,5338	
920	-10,4439	
921	-10,353	
922	-10,2632	
923	-10,1704	
924	-10,0733	
925	-9,97368	
926	-9,86841	
927	-9,76598	
928	-9,65819	
929	-9,54816	
930	-9,43638	
931	-9,32463	
932	-9,20991	
933	-9,09439	
934	-8,97446	
935	-8,85377	
936	-8,72758	
937	-8,59233	
938	-8,45105	
939	-8,29797	
940	-8,12554	
941	-7,96367	
942	-7,78043	
943	-7,59333	
944	-7,40603	
945	-7,21666	
946	-7,02583	
947	-6,8316	
948	-6,62296	
949	-6,40448	
950	-6,17845	
951	-5,93874	
952	-5,68797	
953	-5,42619	
954	-5,14844	
955	-4,8582	
956	-4,55366	
957	-4,23213	
958	-3,88416	
959	-3,51797	
960	-3,14019	
961	-2,73944	
962	-2,30153	
963	-1,82916	
964	-1,32067	
965	-0,770314	
966	-0,169398	
967	0,490839	
968	1,22051	
969	2,01513	
970	2,86287	
971	3,79353	
972	4,86077	
973	6,06422	
974	7,37471	
975	8,76123	
976	10,168	
