Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [dB] - Frekv. prenosna funkcija	
1358	-21,8802	
1359	-21,7202	
1360	-21,562	
1361	-21,4046	
1362	-21,2385	
1363	-21,0628	
1364	-20,8731	
1365	-20,7524	
1366	-20,7386	
1367	-20,7845	
1368	-20,6851	
1369	-20,4305	
1370	-20,2767	
1371	-20,1948	
1372	-20,1588	
1373	-20,149	
1374	-20,0608	
1375	-19,8548	
1376	-19,6745	
1377	-19,5664	
1378	-19,5028	
1379	-19,4454	
1380	-19,3483	
1381	-19,2394	
1382	-19,1454	
1383	-19,0357	
1384	-18,915	
1385	-18,8193	
1386	-18,7317	
1387	-18,6397	
1388	-18,5369	
1389	-18,4579	
1390	-18,4027	
1391	-18,3306	
1392	-18,198	
1393	-18,1093	
1394	-18,01	
1395	-17,9122	
1396	-17,8169	
1397	-17,7159	
1398	-17,6116	
1399	-17,5027	
1400	-17,3975	
1401	-17,3019	
1402	-17,2039	
1403	-17,1171	
1404	-17,0352	
1405	-16,9628	
1406	-16,8822	
1407	-16,7938	
1408	-16,6974	
1409	-16,6041	
1410	-16,4991	
1411	-16,3744	
1412	-16,2611	
1413	-16,1693	
1414	-16,0815	
1415	-15,9794	
1416	-15,8588	
1417	-15,7116	
1418	-15,5395	
1419	-15,3518	
1420	-15,1919	
1421	-15,1536	
1422	-15,1814	
1423	-15,2049	
1424	-15,1853	
1425	-15,1387	
1426	-15,0782	
1427	-15,0079	
1428	-14,9192	
1429	-14,8456	
1430	-14,7809	
1431	-14,7149	
1432	-14,6123	
1433	-14,5073	
1434	-14,423	
1435	-14,3455	
1436	-14,2715	
1437	-14,193	
1438	-14,1158	
1439	-14,0411	
1440	-13,9727	
1441	-13,8919	
1442	-13,796	
1443	-13,7053	
1444	-13,607	
1445	-13,5112	
1446	-13,4252	
1447	-13,3353	
1448	-13,2334	
1449	-13,1291	
1450	-13,0434	
1451	-13,0192	
1452	-13,1118	
1453	-12,8037	
1454	-12,7348	
1455	-12,685	
