Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
783	-5,34475	
784	-5,25751	
785	-5,16973	
786	-5,07901	
787	-4,98586	
788	-4,89351	
789	-4,79814	
790	-4,70018	
791	-4,60112	
792	-4,50006	
793	-4,39855	
794	-4,29464	
795	-4,18983	
796	-4,08224	
797	-3,97263	
798	-3,86032	
799	-3,74669	
800	-3,63163	
801	-3,51464	
802	-3,39876	
803	-3,28227	
804	-3,16876	
805	-3,06387	
806	-2,98407	
807	-2,96599	
808	-3,03509	
809	-2,82351	
810	-2,46399	
811	-2,2211	
812	-2,02703	
813	-1,84767	
814	-1,67481	
815	-1,49997	
816	-1,32467	
817	-1,14491	
818	-0,961397	
819	-0,773871	
820	-0,581018	
821	-0,381882	
822	-0,177476	
823	0,0321658	
824	0,24908	
825	0,472515	
826	0,70307	
827	0,941501	
828	1,18974	
829	1,44446	
830	1,70951	
831	1,98521	
832	2,27107	
833	2,56686	
834	2,8761	
835	3,19868	
836	3,53544	
837	3,88658	
838	4,25612	
839	4,64354	
840	5,04887	
841	5,47723	
842	5,93004	
843	6,41112	
844	6,91956	
845	7,46379	
846	8,05081	
847	8,67916	
848	9,35633	
849	10,094	
850	10,9092	
851	11,8036	
852	12,8029	
853	13,9408	
854	15,2533	
855	16,7989	
856	18,6743	
857	21,0988	
858	24,3982	
859	29,5933	
860	37,828	
861	30,4938	
862	24,7931	
863	21,3038	
864	18,7812	
865	16,8407	
866	15,2509	
867	13,911	
868	12,739	
869	11,7061	
870	10,7811	
871	9,94649	
872	9,1868	
873	8,48696	
874	7,83439	
875	7,22677	
876	6,65978	
877	6,12668	
878	5,62435	
879	5,14941	
880	4,69933	
881	4,27182	
882	3,86184	
883	3,47028	
884	3,0969	
885	2,73842	
886	2,39302	
887	2,0607	
888	1,74161	
889	1,43235	
890	1,13466	
891	0,846793	
892	0,566349	
893	0,294917	
894	0,03129	
895	-0,224251	
896	-0,473123	
897	-0,715354	
898	-0,949549	
899	-1,17941	
900	-1,40229	
901	-1,62163	
902	-1,8343	
903	-2,04373	
904	-2,24832	
905	-2,44715	
906	-2,64357	
907	-2,83378	
908	-3,0224	
909	-3,20461	
910	-3,38479	
911	-3,5633	
912	-3,73774	
913	-3,90774	
914	-4,07585	
915	-4,24121	
916	-4,4032	
917	-4,56215	
918	-4,71962	
919	-4,8764	
920	-5,02901	
921	-5,17933	
922	-5,32817	
923	-5,47489	
924	-5,61968	
925	-5,76291	
926	-5,90491	
927	-6,04449	
928	-6,18274	
929	-6,3203	
930	-6,45423	
931	-6,5884	
932	-6,71928	
933	-6,85239	
934	-6,98057	
935	-7,10911	
936	-7,23494	
937	-7,36307	
938	-7,48777	
939	-7,61127	
940	-7,73684	
941	-7,85908	
942	-7,97937	
943	-8,09967	
944	-8,22016	
945	-8,32901	
946	-8,44923	
947	-8,56635	
948	-8,68263	
949	-8,80314	
950	-8,9163	
951	-9,03119	
952	-9,14469	
953	-9,25798	
954	-9,37124	
955	-9,48254	
956	-9,59524	
957	-9,70575	
958	-9,81719	
959	-9,92822	
960	-10,037	
961	-10,1458	
962	-10,2557	
963	-10,3676	
964	-10,4776	
965	-10,5846	
966	-10,6923	
967	-10,7952	
968	-10,8988	
969	-11,0061	
970	-11,1116	
971	-11,2192	
972	-11,332	
973	-11,4395	
974	-11,5435	
975	-11,6526	
976	-11,7581	
977	-11,8653	
978	-11,9692	
979	-12,0758	
980	-12,1768	
981	-12,2866	
982	-12,3895	
983	-12,4977	
984	-12,6082	
985	-12,7154	
986	-12,8222	
987	-12,9306	
988	-13,0386	
989	-13,1484	
990	-13,2532	
991	-13,3562	
992	-13,4654	
993	-13,575	
994	-13,6809	
995	-13,7887	
996	-13,8928	
997	-14,0065	
998	-14,1146	
999	-14,2228	
1000	-14,329	
1001	-14,4333	
1002	-14,5439	
1003	-14,6557	
1004	-14,767	
1005	-14,8801	
1006	-14,99	
1007	-15,1019	
1008	-15,2131	
1009	-15,3231	
1010	-15,4396	
1011	-15,5541	
1012	-15,6761	
1013	-15,7965	
1014	-15,9168	
1015	-16,0303	
1016	-16,1244	
1017	-16,2253	
1018	-16,3339	
1019	-16,4335	
1020	-16,5418	
1021	-16,6569	
1022	-16,7676	
1023	-16,8793	
1024	-16,9963	
1025	-17,1149	
1026	-17,2244	
1027	-17,3399	
1028	-17,4581	
1029	-17,5688	
1030	-17,6944	
1031	-17,81	
1032	-17,9218	
1033	-18,0411	
1034	-18,1694	
1035	-18,2904	
1036	-18,4076	
1037	-18,5331	
1038	-18,6626	
1039	-18,8168	
1040	-18,9221	
1041	-19,0078	
1042	-19,1301	
1043	-19,2546	
1044	-19,3786	
1045	-19,4841	
1046	-19,6042	
1047	-19,7298	
1048	-19,8485	
1049	-19,9659	
1050	-20,0812	
1051	-20,2002	
1052	-20,3161	
1053	-20,4375	
1054	-20,5565	
1055	-20,6554	
1056	-20,7682	
1057	-20,8792	
1058	-20,9694	
1059	-21,0547	
1060	-21,1274	
1061	-21,193	
1062	-21,2311	
1063	-21,2191	
1064	-21,1929	
1065	-21,1548	
1066	-21,1745	
1067	-21,3322	
1068	-21,6017	
1069	-21,9057	
1070	-22,1851	
1071	-22,4228	
1072	-22,621	
1073	-22,81	
1074	-22,9842	
1075	-23,1392	
1076	-23,2883	
1077	-23,438	
1078	-23,5763	
1079	-23,7181	
1080	-23,8459	
1081	-23,9821	
1082	-24,1195	
1083	-24,2459	
1084	-24,3815	
